"","X","log2FoldChange","AveExpr","t","pvalue","padj","B"
"1","IGHG4",5.784923771,4.251091233,9.418941845,3.84e-08,0.000302,8.94
"2","TSHZ2",1.604813459,4.711254296,9.307954452,4.55e-08,0.000302096,8.826096058
"3","PDGFD",2.266042752,3.434459898,9.264585614,4.87e-08,0.000302,8.56
"4","IGHV3-66",3.280238187,1.428876102,8.84893256,9.33e-08,0.000398514,7.066578161
"5","IGHV3-23",2.838552303,5.192896794,8.763068303,1.07e-07,0.000399,8.04
"6","IGHJ5",3.785622243,1.858060583,8.534369241,1.55e-07,0.00048,6.93
"7","IGHV5-51",3.243490755,3.794017523,8.17968145,2.78e-07,0.000695,7.05
"8","IGHV3-49",3.22346598,2.263671226,8.124015048,3.05e-07,0.00069497,6.561972886
"9","IGHG2",4.428660565,6.209874696,8.067082152,3.36e-07,0.000695,6.94
"10","IGLC1",3.577420704,6.253754221,7.889955438,4.54e-07,0.00084506,6.65114189
"11","SFRP2",3.409360192,5.229569612,7.75523228,5.72e-07,0.000945,6.43
"12","IGHV1-46",3.704232874,2.456333596,7.719268264,6.09e-07,0.000944734,6.045599256
"13","IGHV4-59",3.243123592,4.661574294,7.494039788,9.03e-07,0.001120481,5.985606661
"14","IGLV2-8",3.233272972,3.507285136,7.450913001,9.74e-07,0.001120481,5.854378514
"15","ITM2C",1.148582984,4.743586954,7.405558812,1.06e-06,0.00112,5.84
"16","IGHG1",4.489331906,8.852581499,7.395252192,1.08e-06,0.00112,5.78
"17","IGHV4-39",3.481022973,4.313620585,7.390887368,1.08e-06,0.001120481,5.8056723
"18","DIO2",2.44702857,3.548360445,7.329775389,1.21e-06,0.00118,5.66
"19","IGKV1D-39",3.793115843,5.389335988,7.190359242,1.55e-06,0.001443787,5.461251871
"20","IGKC",3.727825116,9.619932216,7.15069185,1.67e-06,0.00148,5.35
"21","CRABP2",3.1266237,1.837500317,6.973074882,2.3e-06,0.001804418,4.72603144
"22","IGHV1-69-2",4.85521049,3.641119434,6.967457632,2.33e-06,0.001804418,5.054442961
"23","IGHV2-5",3.335376969,3.253340903,6.937957407,2.46e-06,0.001828618,4.970243992
"24","IGKV1-5",3.619293618,5.053254511,6.830513822,2.99e-06,0.00214,4.82
"25","CD27",1.264893479,2.621888129,6.736341355,3.57e-06,0.0023115,4.53759992
"26","IGLV2-11",2.972619106,3.728264577,6.731228386,3.6e-06,0.0023115,4.646829757
"27","IGKV3-15",3.232058624,4.434739866,6.587694136,4.71e-06,0.00292,4.39
"28","IGLL5",3.254123384,4.894862319,6.470848226,5.88e-06,0.003531042,4.16878127
"29","PAPPA",1.755344701,5.060380457,6.443726279,6.19e-06,0.003544987,4.115509887
"30","COL14A1",2.118566799,7.229656741,6.435932365,6.28e-06,0.00354,4.11
"31","IGLV1-47",3.215215206,3.059558823,6.418105987,6.5e-06,0.00356,4.05
